,data,features_cat,features_num,protected_attributes,p_att_description,target,etas,feat_dictionary,technique,model,dir_name,model_type,disparate_impact,statistical_parity_difference,equal_opportunity_difference,accuracy,eta,fs
10,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=20000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_gender_>=20000,base_model,0.8246538218742874,-0.1402027331144225,-0.030201357116018,0.7242353891188049,,MPMD
11,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=30000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_gender_>=30000,base_model,0.6845058994667291,-0.13318848591134,0.0133665745524449,0.707176743716564,,MPMD
12,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=40000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_gender_>=40000,base_model,0.5603663857189515,-0.0994092936766095,0.0070209967027147,0.7558292116685172,,MPMD
13,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=50000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_gender_>=50000,base_model,0.5288887884396295,-0.0516969074354336,0.0160844412758708,0.8049863732714242,,MPMD
14,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=60000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_gender_>=60000,base_model,0.521491857481099,-0.0365245785931144,0.027093366021656,0.8601998586857778,,MPMD
15,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=70000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_gender_>=70000,base_model,0.4942526998964193,-0.0276723885485937,0.0367801069052765,0.8999697183809428,,MPMD
16,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=80000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_gender_>=80000,base_model,0.4501899998709479,-0.0215236986144837,0.0046082949308756,0.9309579085495104,,MPMD
17,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=90000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_gender_>=90000,base_model,0.3979843504897991,-0.0179257985117154,-0.0450484380557822,0.9519531644291916,,MPMD
18,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_marital-status_>=10000,base_model,0.9108519044813363,-0.0844540230734199,0.0112312438799418,0.8355708085192288,,MPMD
19,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=20000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_marital-status_>=20000,base_model,0.8165167360885744,-0.1529633555058017,0.0288665497099339,0.7232260018168971,,MPMD
20,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=30000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_marital-status_>=30000,base_model,0.6002227455098267,-0.1842551258853145,0.0734537069815486,0.7008176037145453,,MPMD
21,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=40000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_marital-status_>=40000,base_model,0.4457512586697532,-0.1213754679185426,0.0957814421131956,0.7456343999192491,,MPMD
22,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=50000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_marital-status_>=50000,base_model,0.3656503000765295,-0.0879061381916419,0.1331064657267865,0.8053901281921874,,MPMD
23,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=60000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_marital-status_>=60000,base_model,0.3508410367575792,-0.061354746691121,0.1400594574507618,0.8584839002725345,,MPMD
24,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=70000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_marital-status_>=70000,base_model,0.3320955331133133,-0.0487059657500536,0.1504884004884005,0.900777228222469,,MPMD
25,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=80000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_marital-status_>=80000,base_model,0.2909843607643435,-0.0385826972661835,0.157058228579685,0.932471989502372,,MPMD
26,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",>=90000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_marital-status_>=90000,base_model,0.2934612518628912,-0.0264621253983935,0.1550873586844809,0.9522559806197638,,MPMD
27,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_race_>=10000,base_model,0.9905214653130198,-0.0085927842737377,0.0052003652708103,0.8322398304229333,,MPMD
28,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=20000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_race_>=20000,base_model,0.790853062297067,-0.145535313119941,-0.1000638705556737,0.7408902796002826,,MPMD
29,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=30000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_race_>=30000,base_model,0.6525097315454136,-0.167520938987475,-0.1370204479065238,0.7532048046835571,,MPMD
30,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=40000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_race_>=40000,base_model,0.6381653038737578,-0.0813978829725425,-0.0415455261799309,0.7762188351670536,,MPMD
31,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=50000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_race_>=50000,base_model,0.6655196921794966,-0.0396126218901256,0.0027761447514533,0.8168971434339356,,MPMD
32,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=60000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_race_>=60000,base_model,0.7055782634262963,-0.0202618776996279,0.0109515989915074,0.8621176945594025,,MPMD
33,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=70000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_race_>=70000,base_model,0.7428399787164657,-0.0124246533969183,0.0086365930129631,0.900777228222469,,MPMD
34,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=80000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_race_>=80000,base_model,0.6591005909917882,-0.0120114215523751,-0.034178098116717,0.932471989502372,,MPMD
35,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('race', ['White'])",>=90000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_race_>=90000,base_model,0.5094469884701714,-0.0121973468575057,-0.044749580163983,0.9522559806197638,,MPMD
36,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_age_bins_>=10000,fair_model,0.8351487445057826,-0.1635800575899507,-0.0626269284212777,0.848721399730821,1.0,MPMD
37,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_age_bins_>=10000,fair_model,1.0017790652994667,0.0017753238372174,0.0021110200591442,0.8006056527590848,10.0,MPMD
38,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function fair_classifier at 0x7f5ed0a1a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_age_bins_>=10000,fair_model,1.0056397603101868,0.005608131791097,0.0060331825037707,0.7991924629878869,20.0,MPMD
